Date,Category,Income,Expense,Savings_Rate,Predicted_Savings_Rate
2020-01-02 00:00:00,Food & Drink,0.0,-2961.27,,-4.031962007452617
2020-01-04 00:00:00,Investment,2291.0,-1185.08,0.482723701440419,0.4726164634078911
2020-01-12 00:00:00,Food & Drink,0.0,-1126.88,,-1.871880882547281
2020-01-14 00:00:00,Shopping,0.0,-448.68,,0.49782575887625424
2020-01-18 00:00:00,Food & Drink,3287.0,-1520.03,0.5375631274718589,0.5476948804499766
2020-01-20 00:00:00,Entertainment,0.0,-1914.85,,-3.0681856258124647
2020-01-24 00:00:00,Health & Fitness,0.0,-1977.47,,-3.3917291928359523
2020-01-26 00:00:00,Salary,0.0,-1077.09,,-0.3334161489657251
2020-01-28 00:00:00,Shopping,0.0,-166.81,,0.14442221734925598
2020-01-30 00:00:00,Food & Drink,0.0,-4760.09,,-5.7395301970021295
2020-02-01 00:00:00,Health & Fitness,0.0,-333.68,,0.3541340998393414
2020-02-03 00:00:00,Travel,0.0,-1406.62,,-0.9543381374272696
2020-02-05 00:00:00,Investment,1838.0,-1222.17,0.3350544069640914,0.3178232145685056
2020-02-07 00:00:00,Entertainment,3786.0,-3817.34,-0.0082778658214474,0.0015880265856781373
2020-02-09 00:00:00,Entertainment,0.0,-1827.14,,-3.3235928482132744
2020-02-11 00:00:00,Health & Fitness,0.0,-433.13,,-0.7262488746284155
2020-02-13 00:00:00,Salary,0.0,-294.31,,0.4780310775088945
2020-02-15 00:00:00,Other,4009.0,-1754.33,0.5624020952856074,0.5608041236521344
2020-02-17 00:00:00,Investment,1398.0,0.0,1.0,0.9897307441900216
2020-02-19 00:00:00,Investment,3958.0,-769.42,0.8056038403233956,0.795344758641735
2020-02-25 00:00:00,Travel,0.0,-1942.45,,-0.08884527108046036
2020-02-27 00:00:00,Other,5081.0,-1363.76,0.7315961424916355,0.7214011164900092
2020-02-29 00:00:00,Travel,0.0,-1944.06,,-0.2477295664744651
2020-03-02 00:00:00,Rent,0.0,-1742.33,,-1.7161526677217143
2020-03-04 00:00:00,Entertainment,0.0,-1516.0500000000002,,-1.7540555020718254
2020-03-08 00:00:00,Rent,0.0,-2345.42,,-1.8529695051679773
2020-03-10 00:00:00,Rent,0.0,-2136.64,,-1.7052268735822045
2020-03-12 00:00:00,Utilities,0.0,-802.96,,-1.359336000355306
2020-03-14 00:00:00,Entertainment,0.0,-3357.85,,-4.475712132831745
2020-03-18 00:00:00,Health & Fitness,0.0,-881.82,,-0.6421363280213652
2020-03-20 00:00:00,Rent,0.0,-503.33,,0.27075768535238176
2020-03-22 00:00:00,Food & Drink,2385.0,-151.28,0.9365702306079664,0.9434188943888584
2020-03-24 00:00:00,Entertainment,0.0,-144.13,,0.6629443257474914
2020-03-28 00:00:00,Other,1080.0,0.0,1.0,1.2972826231904986
2020-04-01 00:00:00,Travel,0.0,-1341.27,,-0.5714702431323876
2020-04-05 00:00:00,Salary,0.0,-2331.95,,-1.0619066227244343
2020-04-09 00:00:00,Other,3402.0,0.0,1.0,0.9963684878347288
2020-04-17 00:00:00,Health & Fitness,996.0,-3332.2200000000003,-2.3456024096385546,-2.3357960501801753
2020-04-21 00:00:00,Investment,2058.0,0.0,1.0,1.0099283356679856
2020-04-23 00:00:00,Utilities,0.0,-849.54,,-0.6095167352301146
2020-04-25 00:00:00,Entertainment,914.0,-3688.53,-3.0355908096280086,-3.025507376042106
2020-04-27 00:00:00,Entertainment,0.0,-2071.61,,-3.33627159848095
2020-04-29 00:00:00,Travel,0.0,-2617.93,,-1.174949521174074
2020-05-01 00:00:00,Travel,0.0,-851.78,,-0.7922993164317009
2020-05-03 00:00:00,Food & Drink,0.0,-1480.62,,-1.637542360859879
2020-05-05 00:00:00,Utilities,0.0,-393.31,,-1.2002395890111373
2020-05-07 00:00:00,Investment,3807.0,0.0,1.0,1.009960240580773
2020-05-11 00:00:00,Investment,825.0,-1318.17,-0.5977818181818183,-0.3526099670531057
2020-05-13 00:00:00,Health & Fitness,0.0,-2355.06,,-3.255949503481058
2020-05-15 00:00:00,Rent,0.0,-948.42,,-0.3241691843152572
2020-05-17 00:00:00,Rent,0.0,-155.79,,0.7127526697434801
2020-05-19 00:00:00,Rent,0.0,-2033.34,,-1.2169513855679597
2020-05-21 00:00:00,Utilities,0.0,-881.99,,-1.4625025824976379
2020-05-25 00:00:00,Travel,0.0,-1227.24,,-1.0620832969913532
2020-05-27 00:00:00,Food & Drink,0.0,-3217.52,,-4.38752434142576
2020-05-29 00:00:00,Investment,1376.0,-551.97,0.598859011627907,0.5691069821792354
2020-05-31 00:00:00,Food & Drink,0.0,-1624.59,,-2.5229973678175335
2020-06-02 00:00:00,Travel,0.0,-97.73,,0.032897365312953064
2020-06-04 00:00:00,Utilities,0.0,-1277.86,,-1.6033601023619832
2020-06-06 00:00:00,Food & Drink,0.0,-1340.4699999999998,,-1.0720514229508784
2020-06-08 00:00:00,Utilities,826.0,-1961.0,-1.37409200968523,-1.3639829948213416
2020-06-10 00:00:00,Entertainment,0.0,-6608.25,,-7.285547997906902
2020-06-12 00:00:00,Utilities,0.0,-1764.02,,-0.9249928081069663
2020-06-14 00:00:00,Entertainment,3872.0,-540.94,0.8602944214876033,0.33843015518842345
2020-06-18 00:00:00,Other,5686.0,-1888.12,0.6679352796341893,0.6629836913637155
2020-06-20 00:00:00,Health & Fitness,0.0,-2587.86,,-2.4981368845471508
2020-06-22 00:00:00,Other,1962.0,-86.13,0.9561009174311926,0.9462051173925141
2020-06-24 00:00:00,Health & Fitness,0.0,-1459.8,,-2.0634901628960565
2020-06-30 00:00:00,Rent,0.0,-874.87,,0.012140956193374408
