Date,Actual_Savings_Rate,Predicted_Savings_Rate_Smoothed
2022-01-10,1.0,1.0
2022-02-01,1.0,1.0
2022-02-03,0.9960127591706538,0.9687023268935523
2022-02-05,0.9910287081339713,0.9297845040602426
2022-02-07,0.9801770334928228,0.8458632023928395
2022-02-09,0.983480861244019,0.8715526686606996
2022-02-11,0.9858407382091592,0.8899022874234568
2022-10-03,0.9858407382091592,0.8899022874234568
2022-12-08,0.9858407382091592,0.8899022874234568
2022-12-16,0.9875495557074504,0.9031950427449198
2022-12-20,0.9909671907040328,0.9297843616550033
2022-12-22,0.928272021375416,0.9225370914675816
2022-12-28,0.928272021375416,0.9225370914675816
2023-01-03,0.928272021375416,0.9224165583148526
2023-01-05,0.928272021375416,0.9222960251621238
2023-01-07,0.887133608282411,0.8773466028510077
2023-01-09,0.8500635829622453,0.8343711991925691
2023-01-19,0.8500635829622453,0.8344841449941848
2023-01-29,0.9217915615868293,0.9115854540684166
2023-01-31,0.9217915615868293,0.9115854540684166
2023-02-12,0.9217915615868293,0.9117059872211456
2023-02-16,0.9217915615868293,0.9118265203738745
2023-02-18,0.9404521349980124,0.924069406263141
2023-02-20,0.8352030297513894,0.8003441613736136
2023-02-22,0.566167191764537,0.5734857954684601
2023-02-24,0.566167191764537,0.573333726486225
2023-03-02,0.566167191764537,0.573333726486225
2023-03-04,0.566167191764537,0.573333726486225
2023-03-08,0.4955806690156305,0.5057427684769913
2023-03-20,0.5180585086974524,0.5384493048988407
2023-03-22,0.5529281739764521,0.571375553471121
2023-03-26,0.8219640119633045,0.7982415067273875
2023-04-07,0.8219640119633045,0.7985141088623514
2023-04-09,0.7682249917181012,0.7462893442134082
2023-04-11,0.7682249917181012,0.7461688110606793
2023-04-13,0.8388115144670076,0.8136392359171841
2023-04-21,0.8388115144670076,0.8136392359171841
2023-04-23,0.8225440196819936,0.8283330800886108
2023-04-27,0.6713982209045436,0.6559982243313416
2023-05-01,0.5911866580928182,0.5708463249761077
2023-05-03,0.565845550055901,0.5396750257916356
2023-05-05,0.565845550055901,0.5397955589443645
2023-05-07,0.5102538380731788,0.4322885749073979
2023-05-13,0.4337549646792419,0.3547297856394552
2023-05-21,0.557471924752045,0.4736582724614794
2023-06-02,0.708617723529495,0.6458725950660196
2023-06-08,0.7298927149360342,0.677390821771067
2023-06-14,0.8089728432181548,0.7607868856044824
2023-06-22,0.8089728432181548,0.7607868856044824
2023-06-24,0.7475697203826982,0.7520434023591787
2023-06-30,0.8240685937766352,0.8296021916271215
2023-07-12,0.8240685937766352,0.8298747937620854
2023-07-24,0.8113394274122862,0.8170924993143817
2023-08-05,0.8702759988174724,0.8706056388118394
2023-08-07,0.7585012361185477,0.7365806306510988
2023-08-09,0.725360677361051,0.6740747403969544
2023-08-11,0.8423555121792298,0.7904457408319535
2023-08-15,0.7507105563152122,0.7076202022309745
2023-08-17,0.6854873797466251,0.6288271345299237
2023-08-23,0.6282681700799658,0.5652323285080322
2023-08-25,0.6282681700799658,0.565352861660761
2023-08-27,0.639754258281671,0.5980580485424692
2023-08-31,0.6130518208927843,0.6016897410629444
2023-09-02,0.5308093471324926,0.5188419568393573
2023-09-06,0.5568035820667387,0.5362714869456854
2023-09-08,0.622026758635326,0.6150645546467362
2023-09-10,0.6919751346663341,0.6915621882690604
2023-09-18,0.6919751346663341,0.6915621882690604
2023-09-22,0.7922638091635535,0.7928820095480927
2023-09-26,0.7846293162593395,0.7794051593711913
2023-09-28,0.8329240723356282,0.7990954094569002
2023-10-02,0.7859728235800747,0.7505916753662579
2023-10-08,0.7859728235800747,0.7505916753662579
2023-10-12,0.7859728235800747,0.7504711422135291
2023-10-16,0.7859728235800747,0.7504711422135291
2023-10-30,0.7859728235800747,0.7504711422135291
2023-11-05,0.8534503126306723,0.8227016569713711
2023-11-07,0.7710329266052854,0.7711789021597777
2023-11-11,0.8204203801236793,0.8289707814904776
2023-11-15,0.6881901373800853,0.6885330183489324
2023-11-23,0.6881901373800854,0.6886535515016614
2023-11-25,0.6881901373800854,0.6886535515016614
2023-12-01,0.6881901373800854,0.6886535515016614
2023-12-03,0.6881901373800854,0.6887740846543903
2023-12-19,0.8045552410894752,0.8033338404511328
2023-12-23,0.7940002303893746,0.7794903584523715
